#
# Transition date estimate for bbc7
#
# Site: bbc7
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2016
# Year max: 2024
# Final Processing Date: 2024-10-16
# Final Processing Time: 15:10:01
# Spline RMSE gcc_mean: 0.00439
# Spline RMSE gcc_50: 0.00461
# Spline RMSE gcc_75: 0.00456
# Spline RMSE gcc_90: 0.00465
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
bbc7,DB,1000,falling,gcc_90,2023-10-02,2023-09-28,2023-09-21,2023-10-03,2023-09-29,2023-09-23,2023-09-30,2023-09-26,2023-09-20,0.36159,0.37398,0.39984,0.35519,0.43987
bbc7,DB,1000,falling,gcc_90,2022-10-04,2022-09-30,2022-09-25,2022-10-05,2022-10-01,2022-09-26,2022-10-02,2022-09-29,2022-09-24,0.34887,0.36897,0.39654,0.34263,0.45008
bbc7,DB,1000,falling,gcc_90,2021-10-06,2021-10-02,2021-09-18,2021-10-07,2021-10-03,2021-09-21,2021-10-04,2021-09-30,2021-09-17,0.34624,0.36188,0.39477,0.33762,0.44853
bbc7,DB,1000,falling,gcc_90,2020-10-13,2020-10-08,2020-09-17,2020-10-14,2020-10-09,2020-09-19,2020-10-11,2020-10-06,2020-09-16,0.33872,0.35984,0.39255,0.33084,0.45013
bbc7,DB,1000,falling,gcc_90,2019-10-12,2019-10-09,2019-10-03,2019-10-13,2019-10-10,2019-10-04,2019-10-11,2019-10-07,2019-10-02,0.34468,0.35652,0.38415,0.33612,0.43199
bbc7,DB,1000,falling,gcc_90,2018-10-07,2018-10-03,2018-09-27,2018-10-08,2018-10-04,2018-09-29,2018-10-05,2018-10-02,2018-09-26,0.3552,0.36892,0.3936,0.34801,0.43466
bbc7,DB,1000,falling,gcc_90,2017-10-04,2017-09-30,2017-09-12,2017-10-05,2017-10-01,2017-09-16,2017-10-02,2017-09-28,2017-09-09,0.35388,0.36585,0.39356,0.34593,0.43971
bbc7,DB,1000,falling,gcc_90,2016-10-05,2016-09-30,2016-09-24,2016-10-06,2016-10-01,2016-09-25,2016-10-02,2016-09-29,2016-09-23,0.35021,0.36616,0.39181,0.34186,0.44168
bbc7,DB,1000,falling,gcc_75,2024-10-05,2024-10-01,2024-09-24,2024-10-06,2024-10-02,2024-09-26,2024-10-03,2024-09-30,2024-09-23,0.34585,0.36186,0.39064,0.33721,0.44136
bbc7,DB,1000,falling,gcc_75,2023-10-02,2023-09-28,2023-09-22,2023-10-03,2023-09-29,2023-09-23,2023-09-30,2023-09-26,2023-09-21,0.36059,0.37303,0.39515,0.35395,0.4363
bbc7,DB,1000,falling,gcc_75,2022-10-04,2022-09-30,2022-09-25,2022-10-05,2022-10-01,2022-09-26,2022-10-02,2022-09-29,2022-09-24,0.34759,0.36725,0.3939,0.34186,0.44432
bbc7,DB,1000,falling,gcc_75,2021-10-06,2021-10-02,2021-09-18,2021-10-07,2021-10-03,2021-09-21,2021-10-04,2021-09-30,2021-09-17,0.34469,0.36023,0.3922,0.33684,0.44549
bbc7,DB,1000,falling,gcc_75,2020-10-13,2020-10-08,2020-09-17,2020-10-14,2020-10-09,2020-09-19,2020-10-11,2020-10-07,2020-09-16,0.3376,0.35869,0.39007,0.32943,0.44683
bbc7,DB,1000,falling,gcc_75,2019-10-11,2019-10-08,2019-10-02,2019-10-12,2019-10-09,2019-10-03,2019-10-09,2019-10-06,2019-10-01,0.34736,0.36022,0.38556,0.34156,0.42872
bbc7,DB,1000,falling,gcc_75,2018-10-07,2018-10-03,2018-09-27,2018-10-08,2018-10-04,2018-09-29,2018-10-05,2018-10-02,2018-09-26,0.35458,0.36823,0.39242,0.34707,0.43351
bbc7,DB,1000,falling,gcc_75,2017-10-04,2017-09-30,2017-09-13,2017-10-05,2017-10-01,2017-09-16,2017-10-02,2017-09-28,2017-09-10,0.3534,0.36519,0.39136,0.34547,0.43711
bbc7,DB,1000,falling,gcc_75,2016-10-05,2016-09-30,2016-09-24,2016-10-06,2016-10-01,2016-09-25,2016-10-03,2016-09-29,2016-09-23,0.34996,0.36581,0.39104,0.34143,0.44033
bbc7,DB,1000,falling,gcc_50,2024-10-05,2024-10-01,2024-09-24,2024-10-06,2024-10-02,2024-09-26,2024-10-03,2024-09-30,2024-09-23,0.34419,0.35986,0.38824,0.33583,0.43588
bbc7,DB,1000,falling,gcc_50,2023-10-02,2023-09-28,2023-09-22,2023-10-03,2023-09-29,2023-09-24,2023-09-30,2023-09-26,2023-09-21,0.35851,0.37113,0.3925,0.35221,0.43125
bbc7,DB,1000,falling,gcc_50,2022-10-04,2022-09-30,2022-09-25,2022-10-05,2022-10-01,2022-09-26,2022-10-02,2022-09-29,2022-09-24,0.34538,0.36409,0.38974,0.34031,0.43804
bbc7,DB,1000,falling,gcc_50,2021-10-06,2021-10-02,2021-09-18,2021-10-07,2021-10-03,2021-09-21,2021-10-04,2021-09-30,2021-09-16,0.34308,0.35849,0.38877,0.33565,0.44097
bbc7,DB,1000,falling,gcc_50,2020-10-13,2020-10-09,2020-09-17,2020-10-14,2020-10-10,2020-09-19,2020-10-11,2020-10-07,2020-09-16,0.3356,0.353,0.38551,0.32711,0.44038
bbc7,DB,1000,falling,gcc_50,2019-10-11,2019-10-08,2019-10-02,2019-10-12,2019-10-09,2019-10-04,2019-10-09,2019-10-07,2019-10-01,0.34504,0.35797,0.38286,0.33912,0.42297
bbc7,DB,1000,falling,gcc_50,2018-10-12,2018-10-05,2018-09-28,2018-11-05,2018-10-06,2018-09-30,2018-10-08,2018-10-03,2018-09-27,0.34622,0.35908,0.38733,0.33713,0.43213
bbc7,DB,1000,falling,gcc_50,2017-10-04,2017-09-30,2017-09-13,2017-10-05,2017-10-01,2017-09-18,2017-10-02,2017-09-28,2017-09-10,0.35282,0.36445,0.39026,0.34491,0.43407
bbc7,DB,1000,falling,gcc_50,2016-10-05,2016-10-01,2016-09-24,2016-10-07,2016-10-02,2016-09-26,2016-10-03,2016-09-29,2016-09-23,0.34948,0.35997,0.38944,0.34031,0.43751
bbc7,DB,1000,falling,gcc_mean,2024-10-05,2024-10-01,2024-09-24,2024-10-06,2024-10-02,2024-09-26,2024-10-03,2024-09-30,2024-09-23,0.34402,0.35924,0.38708,0.33577,0.43311
bbc7,DB,1000,falling,gcc_mean,2023-10-02,2023-09-28,2023-09-22,2023-10-03,2023-09-29,2023-09-24,2023-09-30,2023-09-27,2023-09-21,0.35828,0.37054,0.39162,0.35204,0.42863
bbc7,DB,1000,falling,gcc_mean,2022-10-04,2022-09-30,2022-09-25,2022-10-05,2022-10-01,2022-09-26,2022-10-02,2022-09-29,2022-09-24,0.34517,0.36359,0.38885,0.33991,0.43569
bbc7,DB,1000,falling,gcc_mean,2021-10-06,2021-10-02,2021-09-18,2021-10-07,2021-10-03,2021-09-21,2021-10-04,2021-09-30,2021-09-16,0.34306,0.35809,0.3878,0.33516,0.43924
bbc7,DB,1000,falling,gcc_mean,2020-10-13,2020-10-09,2020-09-17,2020-10-14,2020-10-10,2020-09-19,2020-10-11,2020-10-07,2020-09-16,0.33558,0.35252,0.38644,0.32731,0.43925
bbc7,DB,1000,falling,gcc_mean,2019-10-11,2019-10-08,2019-10-02,2019-10-12,2019-10-09,2019-10-04,2019-10-09,2019-10-07,2019-10-01,0.3453,0.35793,0.38229,0.33952,0.4201
bbc7,DB,1000,falling,gcc_mean,2018-10-20,2018-10-05,2018-09-28,2018-11-05,2018-10-06,2018-09-30,2018-10-18,2018-10-03,2018-09-27,0.3454,0.35889,0.38722,0.33664,0.43209
bbc7,DB,1000,falling,gcc_mean,2017-10-04,2017-09-30,2017-09-13,2017-10-05,2017-10-01,2017-09-18,2017-10-02,2017-09-28,2017-09-11,0.35284,0.36462,0.3904,0.34478,0.43444
bbc7,DB,1000,falling,gcc_mean,2016-10-05,2016-10-01,2016-09-24,2016-10-07,2016-10-02,2016-09-26,2016-10-03,2016-09-29,2016-09-23,0.34949,0.35993,0.38935,0.34031,0.43728
