#
# Transition date estimate for bartlettir
#
# Site: bartlettir
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2008
# Year max: 2016
# Final Processing Date: 2024-10-16
# Final Processing Time: 15:11:16
# Spline RMSE gcc_mean: 0.00566
# Spline RMSE gcc_50: 0.00586
# Spline RMSE gcc_75: 0.00579
# Spline RMSE gcc_90: 0.00588
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
bartlettir,DB,1000,falling,gcc_90,2010-10-11,2010-10-01,2010-09-22,2010-10-12,2010-10-04,2010-09-23,2010-10-09,2010-09-29,2010-09-21,0.37295,0.39164,0.41868,0.36555,0.47038
bartlettir,DB,1000,falling,gcc_90,2009-10-05,2009-09-30,2009-09-22,2009-10-06,2009-10-01,2009-09-24,2009-10-03,2009-09-28,2009-09-21,0.37024,0.38717,0.41779,0.36123,0.4694
bartlettir,DB,1000,falling,gcc_90,2008-09-28,2008-09-24,2008-09-19,2008-09-29,2008-09-25,2008-09-21,2008-09-26,2008-09-23,2008-09-18,0.37816,0.39417,0.42547,0.36958,0.47306
bartlettir,DB,1000,falling,gcc_75,2016-10-07,2016-10-02,2016-09-24,2016-10-08,2016-10-03,2016-09-26,2016-10-04,2016-09-30,2016-09-23,0.38494,0.39849,0.4277,0.3766,0.47418
bartlettir,DB,1000,falling,gcc_75,2015-10-11,2015-10-06,2015-09-28,2015-10-12,2015-10-07,2015-09-30,2015-10-09,2015-10-04,2015-09-27,0.37651,0.39278,0.42406,0.3675,0.47824
bartlettir,DB,1000,falling,gcc_75,2014-10-14,2014-10-09,2014-09-21,2014-10-15,2014-10-10,2014-09-22,2014-10-13,2014-10-07,2014-09-20,0.37542,0.39286,0.4235,0.36459,0.47925
bartlettir,DB,1000,falling,gcc_75,2013-10-02,2013-09-27,2013-09-21,2013-10-04,2013-09-28,2013-09-22,2013-09-30,2013-09-26,2013-09-20,0.38111,0.39557,0.4216,0.37217,0.47095
bartlettir,DB,1000,falling,gcc_75,2012-10-01,2012-09-26,2012-09-18,2012-10-04,2012-09-27,2012-09-20,2012-09-29,2012-09-24,2012-09-17,0.37106,0.38415,0.41474,0.36174,0.46371
bartlettir,DB,1000,falling,gcc_75,2011-10-13,2011-10-06,2011-09-22,2011-10-14,2011-10-07,2011-09-24,2011-10-10,2011-10-04,2011-09-20,0.37051,0.38638,0.41351,0.36174,0.46497
bartlettir,DB,1000,falling,gcc_75,2010-10-11,2010-10-02,2010-09-22,2010-10-12,2010-10-04,2010-09-24,2010-10-09,2010-09-29,2010-09-21,0.37204,0.38904,0.41707,0.36338,0.46704
